,label,title,description
14,3,A Digital Doctor Treats Computer Contamination,"Unfortunately for users, computer equipment manufacturers and resellers don't adequately inform Windows users of the risks involved in accessing the Internet without proper security measures.&lt;br&gt;&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;"
15,3,Google Starts Auction,"Company launched the biggest electronic auction of stock in Wall Street history Friday but warned that it could face legal liability from a Playboy magazine interview in which some aspects of the Internet search engine's performance were overstated. &lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/b&gt;&lt;/font&gt;"
16,3,Hungry world 'must eat less meat',"People will need to eat more vegetables and less meat because of dwindling water supplies, scientists say."
17,3,Worms may slow Parkinson's,A protein which helps increase lifespan in worms offers hope for new Parkinson's and Alzheimer's treatments.
18,3,News: Climate Change Could Doom Alaska's Tundra,"In the next 100 years, Alaska will experience a massive loss of its historic tundra, as global warming allows these vast regions of cold, dry, lands to support forests and other vegetation that will dramatically alter native ecosystems. (Oregon State University press release)"
19,3,Dino-Size Spurt: T. Rex Teens Gained 5 Pounds a Day,"New analysis of fossil bones indicates that adolescent &lt;i&gt;Tyrannosaurus rex&lt;/i&gt; dinosaurs grew extremely rapidly, quickly reaching gigantic size."
20,3,"Ancient Olympians Followed ""Atkins"" Diet, Scholar Says",What did the first Olympians eat? Food historians are scouring ancient texts to find out.
21,3,"Magma Surge Moves Nevada Mountain, Study Says","Why did a Lake Tahoe-area peak move dramatically late last year? A new report says magma deep below surged upward, forcing the mountain to rise."
22,3,Building Dedicated to Space Shuttle Columbia Astronauts,"By BILL KACZOR    PENSACOLA, Fla. (AP) -- A former dormitory converted to classrooms at the Pensacola Naval Air Station was dedicated Friday to two Columbia astronauts who were among the seven who died in the shuttle disaster Feb..."
23,3,How Mars Fooled the World,"The famous Orson Welles' radio broadcast of ""The War of the Worlds"" is about to hit the big screen, as film moguls Spielberg and Cruise bring the H.G. Wells' classic back into the popular imagination. Are we so clever today not be duped?"
24,3,Dying Star Goes Out With a Ring,"A new image from NASA's Spitzer Space Telescope shows the shimmering embers of a dying star, and in their midst a mysterious doughnut-shaped ring. The dying star is part of a ""planetary nebula"" called NGC 246. When a star like our own Sun begins to run out of fuel, its core shrinks and heats up, boiling off the star's outer layers."
25,3,Lost Sleep Leads to Health Problems,"Advice on how to get a good night's slumber and avoid future heart trouble    HealthDayNews -- Lack of sleep can cause more than drowsiness; it can contribute to a number of health problems.    Short-term effects of lack of sleep include increases in blood pressure and levels of stress hormones, according to an article in the August issue of the Harvard Heart Letter..."
26,3,Progress Is Made Battling Strep Germ,"By LINDSEY TANNER     CHICAGO (AP) -- Scientists say they are making headway in developing a vaccine against a common strep germ, the cause of millions of sore throats as well as a deadly but uncommon flesh-eating disease.    A test of an experimental vaccine in just 28 people prompted an immune response with no serious side effects, but it's still not known if the shot would keep people from catching the strep germ..."
27,3,Oracle expands midmarket ambitions,Company looks to juice its application server business with a version tuned for smaller organizations.
28,3,Covad tries an end run,"In a tough scrimmage against resurgent Baby Bells, the broadband pioneer flips open the VoIP playbook."
29,3,Blu-ray Disc spec approved,"Next-generation DVD specification approved, clearing way for manufacturers to produce read-only disks."
30,3,"VoIP gaining ground, despite cost concerns","The voice-over-IP market is growing, and by next year, 50 of all lines installed in the U.S. are expected to rely on VoIP technology -- despite continuing concerns that installations can be costly."
31,3,Hunt for XP SP2 flaws seen in full swing,"Security experts said that while the new Service Pack 2 for Windows XP will bolster the operating system's security, hackers will still find a way to exploit any flaws."
32,3,Benhamou will resign as chairman of PalmSource,"Eric Benhamou will resign as chairman of PalmSource Inc. on Oct. 28, the company announced Friday. The company said it expects he will continue in his role as chairman of sister company PalmOne Inc."
33,3,Google IPO Moves Ahead Despite Playboy Interview,"Google Inc. (GOOG) forged ahead with its IPO auction Friday, even as the online search engine leader acknowledged a newly published magazine interview with its founders contained misleading information."
34,3,Heat Turned Up on Streaming Video Patents,"By JUSTIN POPE     (AP) -- After a recent legal setback, a California company that claims its patents cover the streaming video technology used by adult Web sites is boosting efforts to collect money from a very different group of streaming video users: colleges and universities.    Newport Beach, Calif.-based Acacia Media Technologies Corp..."
35,3,Capturing Your Personal Web,"Forget bookmarks: Web content managers allow you to create your own personal, searchable cache of web pages."
36,3,Google IPO Registration Ends Today,"Google IPO Registration Ends Today\\Google has set their IPO registration deadline at today for investors to register for the Google initial public offering.\\Investors wishing to participate in Google's initial public offering have until 5 pm today to register for the auction at ipo.google.com, according to a statement issued Tuesday on ..."
37,1,Haas in fine form,"HAVEN, Wis. -- If he were acting his age, Jay Haas would have had the weekend off, resting on his laurels and reaping the benefits of the nice-and-easy Champions Tour."
38,1,USC starts at the top,Southern California greeted news of its first preseason No. 1 ranking since 1979 with ambivalence.
39,1,"Budapest, Day 1: everythings on track","The Renault F1 Team ran through its programme without worrying about the timesheets or its rivals. The focus has been on Sundays race, not Fridays glory."
40,0,Rwanda Troops Airlifted to Start AU Mission in Darfur (Reuters),"Reuters - Rwandan troops were airlifted on Sunday\to Sudan's Darfur as the first foreign force there, mandated to\protect observers monitoring a cease-fire between the Sudanese\government and rebels in the troubled western region."
41,0,Bomb at India Independence Parade Kills 15 (AP),"AP - A bomb exploded during an Independence Day parade in India's remote northeast Sunday, killing at least 15 people, including schoolchildren, while a rocket attack during a celebration at a school in the separatist region of Kashmir injured 17, officials said."
42,0,Edwards Calls for Changes to Drug Plans (AP),AP - Democratic vice presidential candidate John Edwards called for changes to prescription drug programs and praised running mate John Kerry's military and government service at an outdoor campaign rally here Saturday.
43,0,Thorpe leads big guns,Ian Thorpe sets the fastest time in the 200m freestyle as swimming's top names cruise into the semi-finals.
44,0,President's fate is on the line in Venezuela,"CARACAS -- Partisans on both sides are calling it the most polarized and important election in Venezuela's history, a presidential recall referendum today that will determine the course of democracy here and could buffet world oil prices. Both campaigns are also utterly convinced they will win."
45,0,Venezuela Holds Referendum on President,"CARACAS, Venezuela - The opposition's long and bitter campaign to oust Venezuelan President Hugo Chavez finally came down to a recall referendum Sunday, with the leftist leader hoping a huge turnout among the poor will keep him in power.    Activists on both sides set off fireworks and blared recordings of bugle music to wake voters hours before dawn, hoping for a flood of early votes in their favor..."
46,0,Venezuela Opposition Holds Recall Vote,"CARACAS, Venezuela - The opposition's long and bitter campaign to oust Venezuelan President Hugo Chavez finally came down to a recall referendum Sunday, with the leftist leader hoping a huge turnout among the poor will keep him in power.    Officials from around the world - including Pope John Paul II and U.S..."
47,3,NASA Develops Robust Artificial Intelligence for Planetary Rovers,"NASA is planning to add a strong dose of artificial intelligence (AI) to planetary rovers to make them much more self-reliant, capable of making basic decisions during a mission. Scientists are developing very complex AI software that enables a higher level of robotic intelligence."
48,0,Conference Gives Iraq Democracy First Test (AP),"AP - Despite the steady clang of mortar shells outside and persistent violence in the country, many delegates at the opening on Sunday of Iraq's National Conference held out hope that this first fragile taste of democracy would succeed."
49,0,Iraq troops move angers S Koreans,Clashes with riot police erupt as thousands protest in Seoul against plans to send troops to help US-led forces in Iraq.
50,1,Iran Snub to Israel Challenges IOC," ATHENS (Reuters) - Iran defied the Olympic spirit on Sunday  by refusing to contest a judo bout with an Israeli at the  Athens Games, making no effort to hide the fact it was putting  solidarity with the Palestinians before gold medals."
51,0,U.S. Soldiers Battle Shiites in Najaf,"NAJAF, Iraq - U.S. tanks and troops rolled back into the center of Najaf and battled with Shiite militants Sunday, reigniting violence in the holy city just as delegates in Baghdad opened a conference meant to be a landmark in the country's movement toward democracy..."
52,0,Venezuela Voters Crowd Polls in Chavez Referendum," CARACAS, Venezuela (Reuters) - Venezuelans crowded polling  stations on Sunday to vote on whether to recall left-wing  President Hugo Chavez or back his mandate to govern the world's  No. 5 oil exporter for the next two years."
53,0,Rumsfeld Briefs Russia on Shift of Forces,"WASHINGTON - Defense Secretary Donald Rumsfeld briefed his Russian counterpart over the weekend on U.S. plans to shift its forces stationed around the globe, in some cases potentially bringing them closer to Russia's borders..."
54,0,Rwandan troops arrive in Darfur as president vows force to protect civilians (Canadian Press),"Canadian Press - AL-FASHER, Sudan (AP) - Dozens of Rwandan soldiers arrived in Sudan's troubled Darfur region Sunday, the first foreign armed force deployed in the area since Arab militiamen began a rampage against black African farmers, killing thousands."
55,2,Nikkei Falls Over 1 Pct on Oil Worries, TOKYO (Reuters) - Tokyo's Nikkei fell more than one percent  by mid-morning on Monday as investors stepped up selling of  exporters such as Toyota Motor Corp. amid growing fears of the  impact of surging oil prices on the global economy.
56,1,Singh Wins Playoff and P.G.A. Title,"Several players outplayed Vijay Singh on Sunday, but nobody outlasted him at the 86th P.G.A. Championship."
57,0,Tibet's Second-Holiest Monk Makes Rare Lhasa Visit (Reuters),"Reuters - Tibet's second-holiest monk, the Panchen\Lama, has visited Lhasa on a rare trip to the Himalayan region\by the living Buddha, whose selection in 1995 was marred by\controversy after the exiled Dalai Lama chose another boy."
58,0,Package prompts US embassy alert,An unidentified substance  sent to the US embassy in the Malaysian capital Kuala Lumpur leads to a security scare. 
59,1,US eights glide to finals in record times,"The US men's and women's eights pulled off huge victories in yesterday's Olympic rowing heats, each setting world bests to advance directly to Sunday's finals."
60,3,Sprint Puts Streaming Media on Phones,PCS Vision Multimedia streams faster video plus audio channels to Samsung phone.
61,0,Panchen Lama Visits Tibet Capital (AP),"AP - The boy chosen by the Chinese government as the reincarnation of the Panchen Lama was greeted warmly by dozens of monks when he visited Tibet's most sacred temple, state television reported, giving rare publicity to one of his appearances."
62,3,Government Spending Up Sharply Locally,"Federal procurement spending in the Washington area rose last year at its highest rate since the 1980s, according to a study to be released today, creating tens of thousands of jobs and increasing economic growth disproportionately in Northern Virginia."
63,1,Twins Rally to Beat Indians in 10 Innings (AP),AP - The Minnesota Twins left Cleveland clinging to first place in the AL Central  #151; and already looking ahead to their next showdown with the surprising Indians.
64,2,Oil Prices Hold Near Record, LONDON (Reuters) - Oil prices simmered near fresh highs  Monday even though early reports of victory for Venezuelan  President Hugo Chavez in a referendum on his rule eased fears  that unrest could upset the country's oil exports.
65,1,Singh Wins Playoff to Seize Third Major Title," KOHLER, Wis. (Reuters) - Fiji's Vijay Singh held his  composure to win the 86th U.S. PGA Championship in a three-way  playoff on Sunday, clinching the third major title of his  career."
66,0,Olympian on Briton death charge,An Olympic sailor is charged with the manslaughter of a Briton who died after being hit by a car in Athens.
67,3,End of the line for HP's Alpha processor,Hewlett-Packard Co. will release the final processor upgrade for its AlphaServer line of Unix servers on Monday.
68,0,Sudan Trying to Keep Darfur Promises-U.N. (Reuters),"Reuters - Raids by Sudanese forces and Arab\militiamen have worsened a desperate situation in Darfur,\rights groups say, but the United Nations said Khartoum was\making serious efforts to keep pledges to curb the violence."
69,0,Darfur Displaced Return to 'Live in Fear' of Militia," KHARTOUM, Sudan (Reuters) - Villagers returning to their  homes in Sudan's Darfur region are living in fear of the Arab  militiamen who initially drove them away, the United Nations  said in a report received by Reuters Monday."
70,2,Allstate Says Charley Could Hurt Results," NEW YORK (Reuters) - Allstate Corp. &lt;ALL.N&gt;, the No. 2 U.S.  home and auto insurer, on Monday said potential losses stemming  from Hurricane Charley could hurt its current results."
71,0,U.S. Embassy in Malaysia Has Anthrax Scare (AP),"AP - Authorities are testing a suspicious powder mailed to the U.S. Embassy in Malaysia to determine whether it is anthrax, officials said Monday after the second such scare at a U.S. mission in Asia within a week."
72,1,Czech Coach Hlinka Dies in Car Accident (AP),"AP - Czech Republic national ice hockey team coach, and former Pittsburgh Penguins coach, Ivan Hlinka died Monday after sustaining serious injuries in a car crash, an official said."
73,0,Chechnya marks 'special' birthday,The authorities in war-torn Chechnya announce cash gifts for boys born on the slain leader's birthday.
74,0,Chvez Is Declared the Winner in Venezuela Referendum,"The president won the backing of 58 percent of voters, officials said, but the opposition said that the government had cheated."
75,3,EU Extends Microsoft-Time Warner Review (AP),AP - European antitrust regulators said Monday they have extended their review of a deal between Microsoft Corp. and Time Warner Inc. to make anti-piracy software together.
76,1,American Aphrodite,"Brooklyn-native Yvette Jarvis is an 'every woman' in Greece: professional basketball player, model, TV and talk show star and Athens councilwoman."
77,2,Daimler Nets \$900 Mln Via Hyundai Sale," LONDON/FRANKFURT (Reuters) - DaimlerChrysler said it raised  more than \$900 million by selling its 10.5 percent stake in  Hyundai Motor Co. Ltd. on Monday, a remnant of its dented  ambitions to build a global carmaking empire."
78,3,Nanotech Research Spending Seen Reaching \$8.6 Bln," SAN FRANCISCO (Reuters) - Worldwide research and  development spending in the emerging field of nanotechnology  should rise about 10 percent this year to \$8.6 billion, a  research firm said on Monday."
79,2,Will Schwab Reward Patience?,"The company saw an improvement in its trades, but will this market be kind to the brokerages?"
80,3,Briefly: Sprint to bake in BlackBerry,roundup Plus: Microsoft ships updated Works...FaceTime pulls in \$16 million...Bladed desktop pioneer gets \$25 million.
81,0,"US to withdraw up to 70,000 troops from Europe and Asia: Bush (AFP)","AFP - The United States will withdraw up to 70,000 troops from Europe and Asia over the next decade, President George W. Bush said, in a move aimed at increasing the capability to fight the ""war on terror"" and meet other new threats."
82,0,Reality TV under fire in Portugal following 'Big Brother' suicide bid (AFP),"AFP - Reality television programs were under renewed fire in Portugal after the winner of the nation's first edition of the popular ""Big Brother"" series threatened to throw himself from a bridge over the weekend."
83,3,Microsoft details XP SP2 conflicts,Microsoft Corp. has published a list of nearly 50 applications and games that may not work correctly after installing Service Pack 2 (SP2) for Windows XP.
84,1,White Sox Manager Suspended Two Games (AP),AP - Chicago White Sox manager Ozzie Guillen was suspended Monday for two games and fined an undisclosed amount for arguing with umpires during an Aug. 9 game against Cleveland.
85,3,Most Japanese Women Shun Birth Control Pill,By AIKO HAYASHI    TOKYO (AP) -- Five years ago Japanese women's rights advocates won their battle to legalize the birth control pill. Now they are waging an even tougher fight - getting women to use it...
86,3,Scientists Work on Cure for Mysterious Nerve Disease,By LAURAN NEERGAARD    WASHINGTON (AP) -- Dr. Douglas Kerr painstakingly collected spinal fluid from hundreds of patients with a mysterious disease that can paralyze within hours of attacking - and thinks he may have found a way to fight back...
87,1,Reds' Griffey Jr. Has Hamstring Surgery (AP),AP - All-Star outfielder Ken Griffey Jr. had surgery Monday to repair his torn right hamstring and is expected to return for spring training.
88,3,HP's Software Woe Has Bigger Industry Implication," NEW YORK (Reuters) - When Hewlett-Packard Co. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=HPQ.N qtype=sym infotype=info qcat=news""&gt;HPQ.N&lt;/A&gt;  warned of a profit shortfall last week, it blamed problems it  had combining two SAP systems, something that the computer  maker believed would be relatively simple when they were  putting together a deal to buy Compaq two years ago."
89,3,Exercise -- the Real Fountain of Youth,"Want to age gracefully? Keep moving. Regular exercise can reduce the risk of chronic disease -- such as heart trouble, diabetes, even cancer -- and keep you feeling and looking younger as you age."
90,1,"V. Williams, Rubin Lose",Venus Williams and Chanda Rubin lose to Li Ting and Sun Tian Tian of China in the first round of the doubles tournament.
91,0,GM to Begin Making Cadillacs in China (AP),"AP - General Motors said Monday it will start making Cadillacs in China this year, joining a race by foreign luxury car brands to sell to the country's newly rich elite."
92,0,Trial Set for Courtney Love in Drug Case,"BEVERLY HILLS, Calif. - A trial date has been set for Sept..."
93,2,Google Could Make Its Market Debut Wed.," NEW YORK/SAN FRANCISCO (Reuters) - Google Inc. appeared set  to start trading on Nasdaq on Wednesday, after the Web's No. 1  search engine asked regulators on Monday for final approval to  price its closely watched initial public offering."
94,3,Google Stock Offering Remains on Track (AP),AP - Google Inc.'s stock market debut appeared to be on track for later this week after the Internet search company asked regulators to give final approval of the paperwork required for the sale.
95,3,"Heat Waves to Worsen Across America, Europe - Study (Reuters)","Reuters - Heat waves like those that have hit\Paris and Chicago in recent years are likely to get worse,\roasting more and more cities with ever-higher temperatures,\climate researchers predicted on Thursday."
96,0,Even Greek grandmas root for the home team,"In 2000, Greece brought home 13 medals. The Greek Olympic Committee hopes to double that number."
97,3,IBM strikes at SCO claims,SCO Group's faltering attack on Linux faces another threat as Big Blue files motion seeking dismissal of contract claims.
98,3,Group to Propose New High-Speed Wireless Format," LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=TXN.N qtype=sym infotype=info qcat=news""&gt;TXN.N&lt;/A&gt;, STMicroelectronics  &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=STM.PA qtype=sym infotype=info qcat=news""&gt;STM.PA&lt;/A&gt; and Broadcom Corp. &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=BRCM.O qtype=sym infotype=info qcat=news""&gt;BRCM.O&lt;/A&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation."
99,1,NFL Players Association Files Grievance Over Carter Release," WASHINGTON (Sports Network) - The NFL Players Association  Monday filed a grievance with the Dallas Cowboys over the  recent release of quarterback Quincy Carter, claiming the  organization was in violation of the league's collective  bargaining agreement."
100,0,Bush Announces Plan for Troop Realignment (AP),"AP - President Bush's plan to restructure U.S. military forces abroad includes bringing two Army divisions home from Cold War-era bases in Germany, and increasing the U.S. presence at bases in countries like Poland, Romania and Uzbekistan, Pentagon officials said Monday."
101,3,Background Investigation Shortfall Sends ManTech to a Loss,"Despite an increase in revenue, ManTech International Corp. swung to a loss during its second quarter when a contract to conduct background investigations for the Department of Defense turned out to be far less lucrative than previously expected."
102,0,New York City Lowering Its Sights for a Convention Boom,"With the Republican National Convention just two weeks away, signs are pointing to a modest economic boost for few businesses."
103,0,Hospitalised woman in Vietnam tests positive for bird flu (AFP),"AFP - A 19-year-old woman hospitalised in Vietnam has tested positive for the lethal strain of bird flu that has killed 27 people across Asia this year, including 19 in the communist nation, officials said."
104,2,Nikkei Rises by Midday, TOKYO (Reuters) - Gains in banks and exporters helped lift  Tokyo's Nikkei average 0.84 percent by midday on Tuesday as a  fall in crude oil prices and a rebound in U.S. stocks led  buyers to pick up shares hit by the index's recent sharp  losses.
105,2,Stocks End Sharply Higher as Oil Prices Drop,A pull back in oil prices and upbeat outlooks from Wal-Mart and Lowe's prompted new bargain-hunting on Wall Street today.
106,3,Linux clusters gear up for simulated combat,Linux Network scores two military-related deals for Linux clusters.
107,0,Hezbollah Re-Elects Sheik Hassan Nasrallah (AP),"AP - Hezbollah's executive has re-elected Sheik Hassan Nasrallah as leader of the militant Shiite Muslim movement, according to a statement Monday by the party that the United States brands as terrorist."
108,2,Tokyo Shares Rise But Oil Worries Weigh, SINGAPORE (Reuters) - Japanese shares rebounded from  three-month lows on Tuesday but stubbornly high oil prices and  concern over their impact on corporate earnings capped gains.
109,0,EU nations slam Tiger rebels as fresh killings dim Sri Lanka peace hopes (AFP),"AFP - European Union nations criticised Sri Lanka's Tamil Tiger rebels for killing rivals and recruiting child soldiers, appealing to the guerrillas not to undermine the Island's Norwegian-led peace bid."
110,2,FDA adopts 'lighter touch' on drug imports,"WASHINGTON -- Federal drug regulators are using a  quot;lighter touch quot; in their efforts to stop a growing number of cities and states from importing prescription drugs from Canada, and the City of Boston is taking advantage of that new posture."
111,2,Power line's cost could grow 40,"NEW YORK -- Northeast Utilities , UIL Holdings Corp. , and New England's grid operator have proposed changes to a planned power line in Southwest Connecticut that would increase costs by more than 40 percent."
112,2,January trial is set for former HealthSouth CEO,"BIRMINGHAM, Ala. -- A federal judge has scheduled jury selection in the fraud trial of fired HealthSouth Corp. chief executive Richard Scrushy to begin Jan. 5."
113,1,Sox and bonds,"There are games in which players renew their vows as teammates, and last night's 8-4 victory over the Toronto Blue Jays was one of them. It may not have been as clear as it was in the Yankee-Red Sox brawl game back in late July, which produced an obvious bond."
114,0,Communists condemn whistle-blower,"BEIJING -- A Communist Party whistle-blower who publicly accused his superiors of tolerating official corruption has been condemned for breaking party rules and ordered to  quot;do a complete self-examination, quot; authorities announced."
115,3,New Ernie machine to make debut,The new version of Ernie - the number cruncher which selects premium bond prizes - is to be unveiled on Tuesday.
116,0,Fighting in Western Afghanistan Kills 3 (AP),"AP - Fighting between rival factions in western Afghanistan killed three militiamen and injured another seven, officials said Tuesday, despite the presence of government and U.S. troops."
117,3,Science creates 'own mavericks',"Britain's scientific community fuels controversies by shunning colleagues with rebel ideas, research suggests."
118,3,Warming threatens California wine,"California is to get hotter and drier by the end of the century, threatening its valuable wine industry."
119,0,"U.S. to Give Cuba  #36;50,000 Hurricane Aid (AP)","AP - Cubans hit hard by hurricane Charley will receive  #36;50,000 in U.S. assistance, the State Department said Friday."
120,3,Ice yields ancient 'plant matter',Scientists drilling ice cores in Greenland have recovered what appear to be plant remains from nearly 3km (two miles) below the surface.
121,3,AMD begins shipments of Oakville mobile chips,"Advanced Micro Devices Inc. (AMD) has begun shipping commercial versions of its Athlon 64 processors made using a 90-nanometer process, marking another step forward in the company's transition to the more advanced manufacturing technology."
122,2,"July Consumer Prices Drop, Energy Tumbles"," WASHINGTON (Reuters) - U.S. consumer prices dropped in July  for the first time in eight months as a sharp run up in energy  costs reversed, the government said on Tuesday in a report  showing underlying inflation pressures largely in check."
123,0,Vietnam Hosts Investment Conference (AP),"AP - Hoping to boost business ties with Singapore, Vietnam's prime minister opened a forum here Tuesday with promises of economic reform and continued growth."
124,3,Broadband offers magical journey,A 'magic carpet' to take children around the world is one of the projects that has won a community net award.
125,2,Home Depot Reports 19 Percent Rise in Profits,Home Depot reported a jump in second-quarter profit on record sales as it benefited from strong performance in stores open at least a year.
126,3,HP's Unix base offered Opteron carrot,&lt;strong&gt;HP World&lt;/strong&gt; Come for a stroll in the Sun
127,2,U.S. July Output Up; Factories Run Faster," WASHINGTON (Reuters) - U.S. industrial output advanced in  July, as American factories operated at their highest capacity  in more than three years, a Federal Reserve report on Tuesday  showed."
128,0,Warming threatens California wine,"California will become hotter and drier by the end of the century, threatening its valuable wine and dairy industries, US experts say."
129,0,Fish Dumped at Landmark in Pollution Protest (Reuters),"Reuters - Environment activists piled thousands of\dead fish at the foot of Berlin's biggest tourist attraction,\the Brandenburg Gate, Tuesday in a demonstration against\over-fishing and pollution in the North Sea."
130,3,Autodesk: Piracy in India Costs Us  #36;367M (AP),AP - American design software developer Autodesk Inc. said Tuesday it is losing  #36;367 million in potential revenues each year because of software piracy in India.
131,0,Charges laid against eight British terror suspects (AFP),AFP - Eight men arrested in an anti-terror swoop in London and other parts of England two weeks ago were charged with conspiracy to murder and other terrorist-related activities.
132,0,Man charged with killing ex-miner,A 42-year-old man is charged with killing a former miner who was found on his Nottinghamshire doorstep.
133,2,Last Call for Investors to Bid on Google,"NEW YORK (Reuters) - Time is running out for prospective investors to submit their offers to buy shares of Google Inc, the Web #39;s No. 1 search company. "
134,2,"Can Glaser, Jobs find harmony?","RealNetworks CEO Rob Glaser has survived longer than most in the Internet business, largely by pulling rabbits out of his hat when the competition least expects it. "
135,3,Police officer arrested in Internet sex sting,"WHITE PLAINS, NY (AP) _ A city police officer was arrested at what he thought would be a sexual rendezvous with a teenage boy, six months after he was caught calling himself a  quot;boy hunter quot; in an Internet chat profile, officials said. "
136,3,2004 Global nanotech spending report,"Lux Research Inc., a New York-based nanotechnology firm has released a detailed report that suggests global spending on research and capital investment in nanotechnology will reach \$8.6 this year. More than half that figure, \$4.6 billion, will come in the ..."
137,3,KDE 3.3 Linux desktop closes in on Windows,"The final release of KDE 3.3, an open-source Linux desktop environment, is due in a few days and will give users greatly improved email facilities. "
138,1,Iranian judo scandal,"Iran #39;s Judo champion, a favourite at the Athens Games, has disqualified himself rather than face an Israeli opponent, apparently on the instruction of Iran #39;s Olympic Committee. So far the International Olympic Committee has been silent. What #39;s your view? ..."
139,3,Astronomers give Milky Way an age,"Astronomers have estimated the age of our galaxy at about 13,600 million years old."
140,0,Bollywood megastar Bachchan meets Pakistani students to boost ties (AFP),AFP - Bollywood mega star Amitabh Bachchan met with a group of Pakistani students as part of a wider initiative to deepen cultural ties between India and Pakistan.
141,2,Pay Up for Growth,Legg Mason's Mary Chris Gay knows when to pay for growth and when to sell a stock.
142,2,"Yukos Can Ship Oil Amid Tax Dispute, Russia Rail Says (Update5)","Aug. 17 (Bloomberg) -- Russia #39;s state-owned railway, the shipper of a fourth of OAO Yukos Oil Co. #39;s crude oil, said it will guarantee exports, the clearest sign yet President Vladimir Putin wants to ensure supplies to world markets. "
143,0,Front-Porch Chat: Birth of a Kerry Campaign Tactic,"John Kerry has held 10 ""front porch visit"" events  an actual front porch is optional  where perhaps 100 people ask questions in a low-key campaigning style."
144,3,Newest discoveries puts known number of satellites at 33,"A camera aboard the Cassini spacecraft flying in orbit around Saturn has discovered two of the tiniest moons in the solar system -- one barely 2 miles in diameter and the other only a half-mile larger, astronomers reported Monday. "
145,3,Q amp;A: HP #39;s Livermore sees no need for HP-UX on x86,"AUGUST 17, 2004 (COMPUTERWORLD) - This can #39;t be an easy time for Ann Livermore. When Hewlett-Packard Co. missed Wall Street #39;s earnings expectations late last week, the blame was placed squarely on the shoulders of the Enterprise Servers and Storage Group, ..."
